name,domain,company_size,location,year_founded,website
MEDINIS Eduphygital Basaveshwara Engineering College.,Education Industry,,"Bagalkote, Karnataka, India",2015,https://eduphygital.com
Agraja Builders & Developers,Construction & Engineering,,"Dakshina Kannada, Karnataka, India",2008,https://agrajabuilders.com/
Gully System Pvt Ltd,IT Industry,,"Bangalore Rural, Karnataka, India",2021,https://www.gullysystem.com
JustBreathe - Beinnature Consultancy Pvt Ltd,Manufacturing,,"Bengaluru Urban, Karnataka, India",2019,https://www.justbreathe.in/
Creo IT Private Limited,IT Industry,,"Shimoga, Karnataka, India",2010,https://www.creoit.com/
Gopalan Aerospace India Pvt.Ltd,Manufacturing,,"Bangalore Rural, Karnataka, India",2015,https://www.gopalanaerospace.com/about-us.html
Ciqur24 LLC (CYBWK PVT LTD),IT Industry,,"Bengaluru Urban, Karnataka, India",2022,https://ciqur24.com/
ATHARV ASSOCIATES,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2019,
Snipe Tech Pvt Ltd,IT Industry,,"Bengaluru Urban, Karnataka, India",2009,https://www.snipe.co.in/
BluePixel IT Services,IT Industry,,"vijayapura, Karnataka, India",2025,
Pragyan SmartAI Technology LLP,IT Industry,,"Bangalore Rural, Karnataka, India",2021,https://www.pragyanai.com
BrightGeeks Technologies PVT.LTD.,IT Industry,,"Bangalore Rural, Karnataka, India",2021,https://brightgeeks.in/
Young Mind Creations Technologies Pvt Ltd,IT Industry,,"Bengaluru Urban, Karnataka, India",2001,https://www.ymctechno.com
Everyneed Logistics Private Limited,Travel & Tourism,,"Bangalore Rural, Karnataka, India",2025,https://everyneedlogistics.com
Purpledata Technologies Private Limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,https://www.cloudinvent.co/
SkillXAcademy,IT Industry,,"Bangalore Rural, Karnataka, India",2025,https://www.skillxacademy.org/
Cloud Institution,Education Industry,,"Bengaluru Urban, Karnataka, India",2024,https://cloudinstitution.com/
Cyber Lancers Pvt Ltd,IT Industry,,"Mysuru, Karnataka, India",2022,https://cyberlancers.in
Off-Look Innovations,IT Industry,,"Bengaluru Urban, Karnataka, India",2023,https://www.off-look-innovations.com/
Vrisharya Technologies Pvt Ltd,Education Industry,,"Udupi, Karnataka, India",2023,https://vrisharyatechnologies.com/
SWIZOSOFT (OPC) PRIVATE LIMITED,Education Industry,,"Mangalore, Karnataka, India",2024,https://www.swizosoft.com
Mitra Softwares,IT Industry,,"Shimoga, Karnataka, India",2014,https://mitrasoftwares.in
BIISM,Not Specified,,"Bangalore Rural, Karnataka, India",2025,https://www.biism.ind.in/
Ashtaksha Labs Private Limited,IT Industry,,"Bangalore Rural, Karnataka, India",2023,https://ashtakshalabs.com/
GOVERNMENT TOOL ROOM AND TRAINING CENTRE- GTTC KALABURAGI,Manufacturing,,"Kalaburagi, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
Genalnstein LLP,Education Industry,,"Bengaluru Urban, Karnataka, India",2025,https://genainstein.com/
SleepMed Solutions Pvt Ltd,Health Care. Fitness & Recreation,,"Bengaluru Urban, Karnataka, India",2023,https://sleepmedsolutions.in/
Planotech Events & Marketing OPC Pvt Ltd,Media & Entertainment,,"Bangalore Rural, Karnataka, India",2019,https://planotechevents.com/
"Dash hydraulics Pvt Ltd.,",Not Specified,,"Bangalore Rural, Karnataka, India",1994,www.dashhydraulics.com
Visil Tech,Manufacturing,,"Chennai, Tamil Nadu, India",2020,https://www.visiltech.in
GLOREYE,E-commerce,,"Bengaluru Urban, Karnataka, India",2024,https://gloreye.in/
GLOBAL MEDITECH,Manufacturing,,"Bengaluru Urban, Karnataka, India",2017,
SHADES ASSOCIATES,Construction & Engineering,,"Kochi, Kerala, India",2000,https://shadesassociates.com
Focus Electronic Services,Manufacturing,,"Bengaluru Urban, Karnataka, India",2009,http://focuselectronicservices.com/english/index.html
Nesara Consulting Engineers Pvt Ltd,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2019,https://ncenesara.com
Madhupushpa Technologies Pvt Ltd,IT Industry,,"Bengaluru Urban, Karnataka, India",2024,https://madhupushpatechnologies.com
Sihi IT Solutions,IT Industry,,"Bengaluru Urban, Karnataka, India",2020,https://sihiitsolutions.com/
CHITRAGUPTA URBAN TECHNOLOGIES PRIVATE LIMITED,IT Industry,,"Indore, Madhya Pradesh, India",2024,https://chitragupta.co
Bdgtronix,IT Industry,,"Bangalore Rural, Karnataka, India",2016,https://bdgtronix.com/
Appzoy Technologies Pvt. Ltd.,Not Specified,,"Bangalore Rural, India",2013,https://www.appzoy.com
Bytonix IT Solutions LLP,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,https://bytonix.in
S G B Design Solutions,IT Industry,,"Bengaluru Urban, Karnataka, India",2021,
OM SAI VENTURES,Government sector,,"Bengaluru Urban, Karnataka, India",2003,
SmartBridge,Not Specified,,"Bangalore Rural, Karnataka, India",2020,https://www.thesmartbridge.com/
Singularity Automobiles Private limited,Construction & Engineering,,"Dakshina Kannada, Karnataka, India",2022,https://singularityautomobiles.com/
METAQODE TECHNOLOGIES PRIVATE LIMITED,IT Industry,,"Chitradurga, Karnataka, India",2025,https://metaqode.co.in/
USMANIYA INTERNATIONAL,Travel & Tourism,,"Chitradurga, Karnataka, India",2009,
Ramaiah Academy Foundation,Education Industry,,"Bengaluru Urban, Karnataka, India",2025,https://www.ramaiahacademy.com
Intellectaflow LLP,Education Industry,,"Mangalore, Karnataka, India",2025,https://gyanthinkflow.com
Trinity Electrical Industries,Manufacturing,,"Bengaluru Urban, Karnataka, India",1997,https://www.trinityelectricals.com
Sunshine Technologies,Manufacturing,,"Bengaluru Urban, Karnataka, India",2009,
Tech Magify LLP,IT Industry,,"Mumbai, Maharashtra, India",2019,https://www.techmagify.com
SMPS ELECTRIC CONTROL Pvt. Ltd.,Manufacturing,,"Bangalore Rural, Karnataka, India",2021,http://www.scientificwork.in
Zryth Solutions Pvt. Ltd.,IT Industry,,"Agra, Uttar Pradesh, India",2025,https://zryth.com
FutureAcad,IT Industry,,"Bangalore Rural, Karnataka, India",2022,https://futureacad.com/
Nelvian Solutions,IT Industry,,"Udupi, Karnataka, India",2022,https://www.nelvian.com/
YourStory Media,Media & Entertainment,,"Bengaluru Urban, Karnataka, India",2008,
Sproox Software Solution (OPC) private limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2023,
Government Tool Room & Training Centre Yadgir,Manufacturing,,"Yadagiri, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
Karnataka German Technical Training Institutes (KGTTI) Mysuru,Education Industry,,"Mysuru, Karnataka, India",2022,https://www.kgtti.com
SGC Services,Education Industry,,"Bengaluru Urban, Karnataka, India",2016,https://www.sgcservices.in/index.php
Prajnan Software Pvt. Ltd.,IT Industry,,"Bengaluru Urban, Karnataka, India",2024,https://www.prajnansoftwares.com/
Government Tool Room & Training Centre Chikodi,Manufacturing,,"Belagavi, Karnataka, India",1972,https://gttc.karnataka.gov.in/page/GTTC%20Centres/Chikodi/en
KiboX Innovations,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,https://www.kiboxinnovations.com
ECO GREEN THEORY AGROTECH LLP,Manufacturing,,"Mysuru, Karnataka, India",2024,https://www.ecogreenagrotech.com/
Samvardhane technologies private limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2002,https://www.cxforall.com/samvardhane/index.html
buildAhome,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2016,https://www.buildahome.in/
Innovant IT Solutions,IT Industry,,"Shimoga, Karnataka, India",2016,https://innovantitsolutions.in/
